X,mergy.workerid,mergy.assignmentid,mergy.bonus
65,A1YSBD5XW5UCR0,3RGU30DZTA9B1VDVGBPSS18FR95MJE,1.52
66,A1Z98KPJS1Q0JG,3SKEMFQBZ36RRQH94VFLOY7XMTGK8N,1.43
67,A20B4Q21A8GNVA,3137ONMDKG63Y5VHR7G6IGBQQFXGEF,1.52
68,A20EU0UH5K3VGE,33F859I566EJRYE81MWY28H62IXHBF,0.19
69,A20MUNY2OLDCLC,3GFK2QRXX9IZZ8SOVBRL0PR174IW5B,0
70,A21UA6O7ZFAIQJ,3Q5C1WP23M26Y7CLYN207Z17BXF513,1.52
71,A22A52DRIIEV6K,33LKR6A5KEL8J9NBZJKYAF7LR23T1O,1.43
72,A22I5RTLJTY3JZ,3H8DHMCCW9C38LD0L3Q1AQLYXKDKDT,2
73,A2389DERMNF3ZB,3GU1KF0O4I2B4FCWKZ43BHJXO97BPE,0
74,A23KAJRDVCVGOE,3EG49X351UDA7CXSAZXCUEJ8C756XC,1.43
75,A23OS0HQ12VVOR,3M1CVSFP606RLH8JEYJWGBP1BOKQA3,2
76,A24LUXW1DB1QI5,3NVC2EB65Q00AY0KWTLG6PEX4OFY3Q,1.09
77,A24T9XN1KYZSCY,3U4J9857OECMY98WODAMBVSCOF1B77,0
78,A250FES5PFCGK9,3SKRO2GZ71S9GQXO5A669OKP8NAK13,1.52
79,A26A4HEBGP2MOX,3QBD8R3Z21K9YGFMQKH1E3814DD4O5,1.09
80,A26SF9CTNKKBYB,3PH3VY7DJLYX6MCD2ZY1PTYW89VWZZ,1.09
81,A26VFMS3M1XWSX,3R08VXYT7CWEMC67J46IY95XYGJW78,1.52
82,A27CEAL8PWSAG5,3ZSANO2JCF8YUO44HIUTPCFTQTRSFI,1.09
83,A28JANGJRFGGAZ,3U84XHCDICELXKTTSTSIU1F5OH9Z4V,1.52
84,A29O3X7F446T1P,39LNWE0K4UXYJSYY7VVE7AA9RGIUI1,1.52
85,A2A3WIYPZD8XSC,3JJVG1YBEBY7B5UD0KVPDBEGX96B5S,2
86,A2A3WIYPZD8XSC,3JJVG1YBEBY7B5UD0KVPDBEGX96B5S,2
87,A2AJ38WFO3PQW8,3RJSC4XJ10V6RIR324Y0TUIX659500,0
88,A2AJ5QFNC9KF43,32ZKVD547FO4XQ79M17WYEGWJDFB32,1.52
89,A2AM62BHO8G9MB,38YMOXR4MU0VICS20U1QSV513ZI6WQ,1.43
